2024-07-17 23:45:33.092 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-17 23:45:33.092 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-07-17 23:45:33.113 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-17 23:45:33.113 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1130 ms
2024-07-17 23:45:33.276 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-17 23:45:34.264 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2024-07-17 23:45:34.653 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@29bacb9a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3ded2595, org.springframework.security.web.context.SecurityContextHolderFilter@4c4066c0, org.springframework.security.web.header.HeaderWriterFilter@5457fa44, org.springframework.web.filter.CorsFilter@19e9f0af, org.springframework.security.web.authentication.logout.LogoutFilter@290f8d7a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@64c3aa0f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@d58cf3f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@120c823d, org.springframework.security.web.access.ExceptionTranslationFilter@11ef13a3, org.springframework.security.web.access.intercept.AuthorizationFilter@13130fa0]
2024-07-17 23:45:35.327 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2024-07-17 23:45:35.348 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Started BookStoreFrontApplication in 3.633 seconds (process running for 245.351)
2024-07-17 23:45:35.350 [scheduling-1] INFO  c.n.b.global.config.CacheConfig - Refresh categoriesCache completed.
2024-07-17 23:45:35.369 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-07-17 23:45:47.140 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Starting BookStoreFrontApplication using Java 21.0.3 with PID 41221 (/Users/dlrudgjs/Desktop/GitHub/book-store-front/target/classes started by dlrudgjs in /Users/dlrudgjs/Desktop/GitHub/book-store-front)
2024-07-17 23:45:47.144 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - The following 1 profile is active: "dev"
2024-07-17 23:45:47.226 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-17 23:45:47.226 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-17 23:45:48.302 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-07-17 23:45:48.306 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-07-17 23:45:48.337 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 Redis repository interfaces.
2024-07-17 23:45:48.572 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1039886f-b335-3755-825b-2a0b8fcf8631
2024-07-17 23:45:49.187 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-07-17 23:45:49.198 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-17 23:45:49.199 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-07-17 23:45:49.228 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-17 23:45:49.229 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2002 ms
2024-07-17 23:45:49.562 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-17 23:45:50.826 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2024-07-17 23:45:50.983 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2efe3896, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@49617cfc, org.springframework.security.web.context.SecurityContextHolderFilter@498e87bd, org.springframework.security.web.header.HeaderWriterFilter@7d73aa37, org.springframework.web.filter.CorsFilter@606f459, org.springframework.security.web.authentication.logout.LogoutFilter@6648e824, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6c6ace8d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@77dd9f58, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2a0a9ef1, org.springframework.security.web.access.ExceptionTranslationFilter@70eec18b, org.springframework.security.web.access.intercept.AuthorizationFilter@66e529a0]
